188716	188886	3	25
188730	188886	3	13
225356	141662	5	1
233512	233626	4	24
246074	246067	4	10
262579	223337	4	2
32045	32056	4	23
34593	34594	4	23
102261	218791	4	24
122675	115061	4	26
149833	126974	2	5
174269	295459	4	24
18299	129943	4	25
189400	189266	2	2
189765	96468	4	2
190549	198368	4	2
210205	210204	5	1
229637	231116	2	8
242752	235071	4	14
248053	248054	4	24
269099	267396	4	14
295096	295095	4	14
54733	54723	4	5
65885	65874	4	31
66520	54493	3	15
83097	259493	4	11
111504	195440	4	25
114037	226863	4	25
153140	95254	5	1
188444	188715	2	2
191527	191526	4	14
222192	209361	4	4
223466	223451	5	1
239968	239976	4	24
246557	247188	4	10
24962	24970	4	23
270944	270945	4	26
29373	29374	4	5
42938	42939	3	21
47541	47545	4	10
54114	53993	4	24
70740	2499	4	10
10512	2030	5	1
160768	154918	4	2
167993	167992	4	11
19352	19362	4	23
21912	22390	4	23
252578	196072	4	4
258882	190212	4	4
268436	114999	4	16
29218	29221	3	12
32854	32855	4	25
71031	71032	4	26
158845	178311	4	25
190344	190345	4	26
227792	216933	4	13
283702	283703	4	24
297027	297034	4	25
42243	42248	4	2
86478	86479	4	10
142597	207374	4	26
148278	148279	4	24
165701	134689	4	4
183059	183058	4	5
184072	173431	2	25
192436	207849	4	24
254733	254734	4	26
266608	264335	4	9
277605	277839	3	13
57372	57373	4	23
71793	71781	2	15
81438	81436	4	24
102431	189311	4	14
110085	110086	4	4
167775	284896	5	1
184925	105976	4	10
2226	98934	5	1
258855	247922	4	24
266411	266412	4	25
27367	27366	4	5
59593	59606	4	2
82742	82738	4	4
93521	140151	5	1
111332	90864	3	13
146806	96782	4	2
167701	156348	4	10
17874	17889	4	23
198238	198239	4	27
20370	20379	4	10
20539	55715	4	2
241517	241516	4	4
260579	77561	4	14
261751	261752	4	25
279710	279713	3	9
39164	39162	2	24
45387	45388	2	8
52241	52178	4	4
87425	87424	4	27
121482	124290	4	5
125520	125519	4	20
132360	203176	4	25
184143	214165	4	4
212666	113629	5	1
27999	28007	4	23
294360	280021	4	25
4808	4806	4	23
50521	223582	4	24
7717	62997	4	2
104901	104882	4	10
141676	286995	5	1
146949	254008	4	27
160743	206460	3	16
179091	165029	4	4
188036	147622	4	5
212396	188937	3	13
231011	285425	4	10
250560	250546	3	21
256673	256674	4	24
278890	250641	4	4
37594	182139	5	1
40267	40266	4	10
61178	123694	4	14
114281	225105	4	2
1180	18677	4	15
122771	122772	4	25
189143	189144	4	25
227505	126795	4	13
229041	229036	5	1
259186	259146	4	11
261262	141955	4	4
285323	280210	4	25
37890	153217	4	2
52322	9397	4	23
97295	134091	4	23
197940	193458	4	14
241009	240832	4	11
288117	165197	3	23
75672	146866	4	24
84088	84101	4	24
105	83	4	23
110449	46392	4	10
129650	129651	4	4
147057	147056	4	4
166933	166934	4	27
169567	108437	4	2
174701	174702	4	24
195491	182990	4	14
196859	196860	4	25
225544	262896	2	15
239390	239290	5	1
243876	135989	5	1
258513	201765	4	14
28833	61324	4	4
295189	248666	4	4
40039	40035	4	23
44122	50770	4	10
83407	83408	4	22
89131	89115	4	23
98388	220023	4	15
99205	99206	4	14
112277	99816	4	10
116911	116912	4	23
126092	126094	3	8
140143	292743	4	25
169320	173864	4	26
192368	192369	4	25
251770	217606	4	11
80403	3110	4	23
81089	81077	4	2
92850	92848	4	10
121136	79783	4	23
124154	124155	4	26
13256	126343	4	24
142109	191363	4	13
211751	236760	5	1
224631	193834	4	27
235496	263281	4	25
237683	158458	4	10
274679	274678	3	16
284709	284710	4	2
294783	253862	5	1
38069	38070	4	27
52350	52378	4	4
58346	58253	4	2
7768	7766	4	2
98711	98690	4	23
99067	156785	4	2
100317	100319	4	11
124520	183259	4	27
137494	137495	4	25
157890	159857	4	10
178144	169389	3	16
221561	109891	4	4
261298	173700	4	10
275425	275227	4	2
296561	296560	4	10
49008	48997	4	10
66640	66641	4	23
67699	66613	2	12
71910	3252	4	5
89003	67930	4	10
98169	98165	4	23
15028	122483	4	4
165495	263483	4	13
20029	20028	4	23
201057	189883	5	1
246741	126871	5	1
259715	259700	4	15
295604	152700	2	2
31138	254799	4	14
54440	54453	4	2
78598	78599	4	23
91888	91880	4	14
107290	106801	4	5
146301	111389	5	1
167106	154086	3	27
172618	86182	4	10
214791	214790	4	11
224539	224540	4	27
225898	225944	4	14
239231	196340	4	4
267750	267749	4	4
278775	278927	5	1
296969	296967	5	1
5936	69	4	23
74838	74839	4	4
8089	8090	5	1
90002	90001	4	4
108112	54510	4	4
189243	102479	2	13
189705	188640	4	4
208338	277510	4	24
230578	230580	4	26
238723	238320	4	10
282384	282385	4	25
28892	28889	4	23
3487	16737	4	23
63305	63333	4	23
84383	84382	4	4
86206	86205	4	26
87826	111258	4	27
103576	103622	4	10
124951	124292	4	12
15224	15228	4	14
164971	155358	4	24
176659	175194	3	22
186182	186183	4	24
195428	195429	4	29
203342	203341	4	11
214171	214170	4	10
225506	250086	4	24
244793	244792	4	10
258487	258488	4	25
271829	256787	4	27
293031	293030	3	21
40652	40653	4	23
43224	43240	4	23
53534	53533	4	15
58147	56444	4	12
1418	8294	4	23
143866	140555	4	14
14599	16027	2	4
172914	198705	4	25
179653	19909	4	4
182603	182602	4	4
190600	245274	4	2
216743	216744	4	24
266298	266292	3	25
270574	286270	4	25
285521	285520	4	4
43200	43227	3	2
45499	45497	4	11
54394	54417	4	10
65239	65241	4	27
70660	226191	4	23
74314	74310	4	10
8220	66	4	3
9075	8371	3	21
92240	91780	4	4
9976	9975	4	10
1098	73	4	23
112242	97216	4	4
132238	127829	4	5
15471	15472	2	6
168580	262896	2	15
184503	75641	4	23
203663	149893	4	26
207427	207428	4	24
23346	55257	4	4
235870	172750	4	4
241370	241368	5	1
252694	254073	4	10
295221	295294	5	1
30277	2348	4	11
56998	57923	2	15
60025	60009	4	2
62048	202235	4	4
76602	76538	2	10
81619	81581	4	24
95650	212579	4	23
108886	108887	3	8
11020	11041	3	2
114883	116738	3	12
117946	77948	4	23
119757	278511	4	24
130420	130421	4	25
215422	215421	4	10
218840	218839	4	10
229149	146881	4	14
230916	167470	4	14
232173	232180	5	1
255587	168247	4	4
